0.057000 0.007500 0.002000
0.057000 0.015000 0.002000
0.057000 0.000000 0.002000
0.060000 0.007500 0.002000
0.060000 0.015000 0.002000
0.060000 0.000000 0.002000
0.066000 0.007500 0.002000
0.067500 0.007500 0.002000
0.064500 0.010500 0.002000
0.061500 0.007500 0.002000
0.063000 0.007500 0.002000
0.064500 0.015000 0.002000
0.064500 0.000000 0.002000
0.064500 0.004500 0.002000
0.069000 0.007500 0.002000
0.069000 0.015000 0.002000
0.069000 0.000000 0.002000
0.075000 0.007500 0.002000
0.076500 0.007500 0.002000
0.073500 0.010500 0.002000
0.070500 0.007500 0.002000
0.072000 0.007500 0.002000
0.073500 0.015000 0.002000
0.073500 0.000000 0.002000
0.073500 0.004500 0.002000
0.078000 0.007500 0.002000
0.078000 0.015000 0.002000
0.078000 0.000000 0.002000
0.084000 0.007500 0.002000
0.085500 0.007500 0.002000
0.082500 0.010500 0.002000
0.079500 0.007500 0.002000
0.081000 0.007500 0.002000
0.082500 0.015000 0.002000
0.082500 0.000000 0.002000
0.082500 0.004500 0.002000
0.087000 0.007500 0.002000
0.087000 0.015000 0.002000
0.090000 0.007500 0.002000
0.090000 0.015000 0.002000
0.087000 0.000000 0.002000
0.090000 0.000000 0.002000
0.057000 0.010000 0.002000
0.057000 0.012500 0.002000
0.057000 0.002500 0.002000
0.057000 0.005000 0.002000
0.060000 0.009375 0.002000
0.060000 0.011250 0.002000
0.060000 0.013125 0.002000
0.060000 0.001875 0.002000
0.060000 0.003750 0.002000
0.060000 0.005625 0.002000
0.067353 0.008427 0.002000
0.066927 0.009263 0.002000
0.066263 0.009927 0.002000
0.065427 0.010353 0.002000
0.063573 0.010353 0.002000
0.062737 0.009927 0.002000
0.062073 0.009263 0.002000
0.061647 0.008427 0.002000
0.063286 0.008382 0.002000
0.064036 0.008927 0.002000
0.064964 0.008927 0.002000
0.065714 0.008382 0.002000
0.063000 0.015000 0.002000
0.061500 0.015000 0.002000
0.060500 0.007500 0.002000
0.061000 0.007500 0.002000
0.064500 0.012000 0.002000
0.064500 0.013500 0.002000
0.061500 0.000000 0.002000
0.063000 0.000000 0.002000
0.064500 0.001500 0.002000
0.064500 0.003000 0.002000
0.063573 0.004647 0.002000
0.062737 0.005073 0.002000
0.062073 0.005737 0.002000
0.061647 0.006573 0.002000
0.065714 0.006618 0.002000
0.064964 0.006073 0.002000
0.064036 0.006073 0.002000
0.063286 0.006618 0.002000
0.065427 0.004647 0.002000
0.066263 0.005073 0.002000
0.066927 0.005737 0.002000
0.067353 0.006573 0.002000
0.068250 0.007500 0.002000
0.069000 0.009000 0.002000
0.069000 0.010500 0.002000
0.069000 0.012000 0.002000
0.069000 0.013500 0.002000
0.067500 0.015000 0.002000
0.066000 0.015000 0.002000
0.066000 0.000000 0.002000
0.067500 0.000000 0.002000
0.069000 0.001500 0.002000
0.069000 0.003000 0.002000
0.069000 0.004500 0.002000
0.069000 0.006000 0.002000
0.076353 0.008427 0.002000
0.075927 0.009263 0.002000
0.075263 0.009927 0.002000
0.074427 0.010353 0.002000
0.072573 0.010353 0.002000
0.071737 0.009927 0.002000
0.071073 0.009263 0.002000
0.070647 0.008427 0.002000
0.072286 0.008382 0.002000
0.073036 0.008927 0.002000
0.073964 0.008927 0.002000
0.074714 0.008382 0.002000
0.073500 0.012000 0.002000
0.073500 0.013500 0.002000
0.072000 0.015000 0.002000
0.070500 0.015000 0.002000
0.069750 0.007500 0.002000
0.070500 0.000000 0.002000
0.072000 0.000000 0.002000
0.073500 0.001500 0.002000
0.073500 0.003000 0.002000
0.072573 0.004647 0.002000
0.071737 0.005073 0.002000
0.071073 0.005737 0.002000
0.070647 0.006573 0.002000
0.074714 0.006618 0.002000
0.073964 0.006073 0.002000
0.073036 0.006073 0.002000
0.072286 0.006618 0.002000
0.074427 0.004647 0.002000
0.075263 0.005073 0.002000
0.075927 0.005737 0.002000
0.076353 0.006573 0.002000
0.077250 0.007500 0.002000
0.078000 0.009000 0.002000
0.078000 0.010500 0.002000
0.078000 0.012000 0.002000
0.078000 0.013500 0.002000
0.076500 0.015000 0.002000
0.075000 0.015000 0.002000
0.075000 0.000000 0.002000
0.076500 0.000000 0.002000
0.078000 0.001500 0.002000
0.078000 0.003000 0.002000
0.078000 0.004500 0.002000
0.078000 0.006000 0.002000
0.085353 0.008427 0.002000
0.084927 0.009263 0.002000
0.084263 0.009927 0.002000
0.083427 0.010353 0.002000
0.081573 0.010353 0.002000
0.080737 0.009927 0.002000
0.080073 0.009263 0.002000
0.079647 0.008427 0.002000
0.081286 0.008382 0.002000
0.082036 0.008927 0.002000
0.082964 0.008927 0.002000
0.083714 0.008382 0.002000
0.082500 0.012000 0.002000
0.082500 0.013500 0.002000
0.081000 0.015000 0.002000
0.079500 0.015000 0.002000
0.078750 0.007500 0.002000
0.079500 0.000000 0.002000
0.081000 0.000000 0.002000
0.082500 0.001500 0.002000
0.082500 0.003000 0.002000
0.081573 0.004647 0.002000
0.080737 0.005073 0.002000
0.080073 0.005737 0.002000
0.079647 0.006573 0.002000
0.083714 0.006618 0.002000
0.082964 0.006073 0.002000
0.082036 0.006073 0.002000
0.081286 0.006618 0.002000
0.083427 0.004647 0.002000
0.084263 0.005073 0.002000
0.084927 0.005737 0.002000
0.085353 0.006573 0.002000
0.086000 0.007500 0.002000
0.086500 0.007500 0.002000
0.087000 0.009375 0.002000
0.087000 0.011250 0.002000
0.087000 0.013125 0.002000
0.085500 0.015000 0.002000
0.084000 0.015000 0.002000
0.090000 0.010000 0.002000
0.090000 0.012500 0.002000
0.084000 0.000000 0.002000
0.085500 0.000000 0.002000
0.087000 0.001875 0.002000
0.087000 0.003750 0.002000
0.087000 0.005625 0.002000
0.090000 0.002500 0.002000
0.090000 0.005000 0.002000
0.065898 0.009424 0.002000
0.063102 0.009424 0.002000
0.066205 0.008054 0.002000
0.066187 0.008726 0.002000
0.065235 0.009762 0.002000
0.064500 0.009879 0.002000
0.063765 0.009762 0.002000
0.062813 0.008726 0.002000
0.062795 0.008054 0.002000
0.065535 0.009245 0.002000
0.064500 0.009504 0.002000
0.063465 0.009245 0.002000
0.065686 0.008754 0.002000
0.064833 0.009157 0.002000
0.064167 0.009157 0.002000
0.063314 0.008754 0.002000
0.061589 0.012716 0.002000
0.060677 0.009185 0.002000
0.060984 0.010876 0.002000
0.062371 0.011320 0.002000
0.063107 0.013263 0.002000
0.061228 0.008994 0.002000
0.061674 0.010355 0.002000
0.063342 0.011835 0.002000
0.061591 0.002285 0.002000
0.060985 0.004125 0.002000
0.060679 0.005814 0.002000
0.063108 0.001737 0.002000
0.062373 0.003679 0.002000
0.063343 0.003165 0.002000
0.061675 0.004644 0.002000
0.061229 0.006005 0.002000
0.063102 0.005576 0.002000
0.065898 0.005576 0.002000
0.062795 0.006946 0.002000
0.062813 0.006274 0.002000
0.063765 0.005238 0.002000
0.064500 0.005121 0.002000
0.065235 0.005238 0.002000
0.066187 0.006274 0.002000
0.066205 0.006946 0.002000
0.063465 0.005755 0.002000
0.064500 0.005496 0.002000
0.065535 0.005755 0.002000
0.063314 0.006246 0.002000
0.064167 0.005843 0.002000
0.064833 0.005843 0.002000
0.065686 0.006246 0.002000
0.067313 0.011610 0.002000
0.067877 0.010196 0.002000
0.068158 0.008869 0.002000
0.067440 0.013388 0.002000
0.065845 0.011917 0.002000
0.065946 0.013451 0.002000
0.067314 0.003391 0.002000
0.067440 0.001612 0.002000
0.068158 0.006130 0.002000
0.067877 0.004804 0.002000
0.065845 0.003083 0.002000
0.065946 0.001549 0.002000
